ID,Vessel Type,Average Speed,Top Speed,Laden,X Position,Y Position,Vessel Age,Year of Construction,Beaufort Wind Scale,Crew Size,Hours To Arrival
3719208,Container ship,16.63593929631401,21.717643114467847,False,-470.8649087522124,12.318308765157326,55,1969,11,279,34.61
2784078,Bulk carrier,11.906230506335694,16.987934324489533,False,-800.3351230718987,735.96080088738,54,1970,9,183,80.12
1432674,Oil tanker,8.55635753687821,13.638061355032047,False,-998.8525995165052,-58.19314297973506,3,2021,5,60,80.43
3580222,Container ship,14.50943107664923,19.59113489480307,True,-434.038867879671,-180.7046099928848,5,2019,11,48,60.18
942724,Container ship,16.000126671234902,21.08183048938874,False,-569.4321391883484,494.74498940686203,17,2007,1,73,42.01
3449282,Container ship,14.43487724005923,19.516581058213067,True,-363.4805380470149,-974.06215916618,14,2010,10,330,80.08
2073506,Oil tanker,8.387742232917892,13.469446051071731,False,-496.51436801218324,-460.4775081418795,33,1991,12,260,134.37
1133344,Container ship,15.034354967695835,20.116058785849674,False,-673.7513207573847,527.7655131712149,7,2017,0,98,45.66
3455349,Container ship,14.635591528267923,19.71729534642176,False,-620.4506923450433,434.68868333254295,57,1967,7,63,51.54
628687,Oil tanker,8.286876530021658,13.368580348175495,False,-320.8890594948225,-96.5146563501811,26,1998,5,220,34.13
1935141,Oil tanker,8.18089034833382,13.26259416648766,True,-646.7797954844426,-891.7286076673449,42,1982,11,82,345.93
863451,Container ship,16.44554585281732,21.52724967097116,False,-979.8910341000917,395.4582552715651,5,2019,0,280,55.54
3178088,Container ship,15.40049754836164,20.48220136651548,False,-662.4810495461227,-971.9520287406109,33,1991,11,188,93.52
1585811,Oil tanker,7.568320012550249,12.650023830704086,True,-403.8034304494039,-304.3682721135623,26,1998,9,175,194.9
737788,Container ship,14.585708270847144,19.667412089000983,True,,-120.21006881566905,37,1987,6,118,21.3
15839,Bulk carrier,10.742462397759828,15.824166215913667,False,-404.42036759157804,123.53123060035341,21,2003,12,216,55.65
2085233,Container ship,15.186334375573571,20.26803819372741,True,-822.0322271813956,-7.4045401790183405,46,1978,11,89,98.11
3839162,Bulk carrier,10.467711767263298,15.549415585417137,False,-447.97612497323075,67.86646783464425,26,1998,1,147,29.16
2046418,Bulk carrier,10.618686276553383,15.70039009470722,False,-212.52136491168721,-703.6869998707941,48,1976,5,175,54.23
2055688,Oil tanker,7.880901116699644,12.962604934853482,False,-567.8672615826781,-350.0298957202659,2,2022,1,287,70.54
3698933,Oil tanker,7.842313497024008,12.924017315177846,False,-601.6250196326708,681.0648851971503,52,1972,5,241,90.11
840754,Container ship,16.482721749490263,21.5644255676441,True,-426.47406616707326,-55.14951454465211,55,1969,2,102,33.25
2183625,Container ship,14.945938395987337,20.027642214141174,True,-790.8125288193974,983.0633432472121,23,2001,2,263,113.64
1250055,Bulk carrier,11.923343802706132,17.00504762085997,True,-888.5429554326071,-767.1740657188226,40,1984,10,227,132.19
1983232,Bulk carrier,10.952053474387645,16.033757292541484,True,-852.0384252962974,267.39834226319385,55,1969,4,30,86.87
1913678,Oil tanker,7.918932800711492,13.000636618865329,False,-264.09924891333833,550.5852911461523,41,1983,0,192,47.65
1027501,Oil tanker,9.876641789494473,14.958345607648312,False,-538.0934629229839,-897.107418974981,15,2009,5,46,97.92
2970940,Oil tanker,8.395982021568225,13.477685839722064,True,-428.4212224374702,275.25818620902373,42,1982,1,329,61.08
3829970,Bulk carrier,11.189375395646081,16.27107921379992,False,-117.2689391378716,916.863699716559,47,1977,0,232,62.06
1345217,Container ship,15.566210018192958,20.647913836346795,False,-571.2252567421951,622.2802665405222,3,2021,6,144,48.5
1615954,Bulk carrier,11.18272969246798,16.264433510621817,False,-185.35006445330282,258.1674115773899,9,2015,4,329,23.55
2007744,Oil tanker,8.740118700688424,13.82182251884226,False,,-583.40541818731,41,1983,1,244,66.97
2168502,Oil tanker,8.305161221182598,13.386865039336435,True,-970.0509588040488,-582.298116562416,5,2019,2,203,155.25
3021737,Container ship,15.270308373245918,20.352012191399755,False,-319.58847193118254,-687.9048827757381,59,1965,7,299,38.36
816471,Oil tanker,8.079664922090009,13.161368740243848,True,-762.1295589928193,559.4740027168041,57,1967,2,308,261.33
3220788,Bulk carrier,11.251975043351795,16.333678861505632,False,-577.6482495054519,533.3133009681233,15,2009,3,170,65.01
3795550,Bulk carrier,11.62939061145618,16.711094429610018,True,-517.7794185090218,-600.7570483090335,47,1977,5,141,79.17
240768,Container ship,14.56519989822361,19.646903716377448,True,-579.3668297819794,-20.622562452767852,16,2008,6,105,44.38
2007462,Oil tanker,,14.815681510026447,False,-645.1343336398565,602.6639442857681,5,2019,10,169,74.74
171362,Oil tanker,8.89803318128264,13.97973699943648,True,-164.42122192431543,195.09975225050994,38,1986,0,294,51.2
2278657,Container ship,15.089530113261183,20.17123393141502,True,-825.1608551350694,112.7826393021187,52,1972,8,44,61.7
2796058,Bulk carrier,10.949755702399743,16.031459520553582,False,-213.33897009714576,435.4487720155196,47,1977,6,136,30.48
3866840,Oil tanker,8.208398434979257,13.290102253133096,False,-645.1771920045182,279.19654489869595,33,1991,8,298,56.83
1865868,Container ship,15.332909937930985,20.414613756084822,False,-626.8172398850771,627.8871990640225,38,1986,3,244,49.15
1136627,Bulk carrier,11.237157804786499,16.318861622940336,True,-256.8581332196844,-885.285318657433,28,1996,7,237,99.56
2041322,Bulk carrier,10.719405179469362,15.8011089976232,False,-897.1644027845414,-297.78691898384886,34,1990,0,78,74.33
161343,Container ship,15.635323099838919,20.717026917992758,True,-855.6719660834096,-654.1836156327521,20,2004,6,205,74.33
290282,Bulk carrier,10.957090178304918,16.038793996458757,False,-531.1422141698172,381.89323196733244,60,1964,12,219,94.14
2071550,Bulk carrier,12.19877428974386,17.280478107897697,False,-902.5324318008852,-945.7647009466949,25,1999,11,211,128.32
2732737,Oil tanker,7.303757763179452,12.38546158133329,False,-483.8113084121137,-907.4198248896146,54,1970,11,271,139.3
2608170,Container ship,16.207864686022496,21.289568504176334,False,-644.9249766851547,123.55258459923061,35,1989,11,129,40.38
1466911,Bulk carrier,11.746688822247982,16.82839264040182,True,-113.33420544566036,235.5039287506031,18,2006,2,154,28.98
